total_cr,month,years,days,earliest_date
49.82516,November,2022,24,11/24/22 0:00
39.30892,November,2022,25,11/25/22 0:00
34.98093,November,2022,26,11/26/22 0:00
33.58812,November,2022,27,11/27/22 0:00
90.94023,November,2022,28,11/28/22 0:00
72.84958,November,2022,29,11/29/22 0:00
71.4725,November,2022,30,11/30/22 0:00
62.81347,December,2022,1,12/01/22 0:00
75.27784,December,2022,2,12/02/22 0:00
41.90461,December,2022,3,12/03/22 0:00
41.19227,December,2022,4,12/04/22 0:00
95.68678,December,2022,5,12/05/22 0:00
41.54627,December,2022,6,12/06/22 0:00
57.8582,December,2022,7,12/07/22 0:00
44.93672,December,2022,8,12/08/22 0:00
44.43089,December,2022,9,12/09/22 0:00
38.86205,December,2022,10,12/10/22 0:00
35.39122,December,2022,11,12/11/22 0:00
54.00848,December,2022,12,12/12/22 0:00
54.71611,December,2022,13,12/13/22 0:00
62.61202,December,2022,14,12/14/22 0:00
58.12517,December,2022,15,12/15/22 0:00
53.9654,December,2022,16,12/16/22 0:00
41.76331,December,2022,17,12/17/22 0:00
43.34002,December,2022,18,12/18/22 0:00
204.8217,December,2022,19,12/19/22 0:00
34.90189,December,2022,20,12/20/22 0:00
37.56074,December,2022,21,12/21/22 0:00
56.71593,December,2022,22,12/22/22 0:00
65.59668,December,2022,23,12/23/22 0:00
59.11452,December,2022,24,12/24/22 0:00
62.70258,December,2022,25,12/25/22 0:00
53.98526,December,2022,26,12/26/22 0:00
40.94225,December,2022,27,12/27/22 0:00
38.62906,December,2022,28,12/28/22 0:00
82.8886,December,2022,29,12/29/22 0:00
59.86161,December,2022,30,12/30/22 0:00
66.40269,December,2022,31,12/31/22 0:00
34.37997,January,2021,1,01/01/21 0:00
35.90909,January,2021,2,01/02/21 0:00
204.0706,January,2021,3,01/03/21 0:00
481.7542,January,2021,4,01/04/21 0:00
518.1775,January,2021,5,01/05/21 0:00
84.33146,January,2021,6,01/06/21 0:00
72.44603,January,2021,7,01/07/21 0:00
44.82071,January,2021,8,01/08/21 0:00
43.88544,January,2021,9,01/09/21 0:00
63.63496,January,2021,10,01/10/21 0:00
41.81896,January,2021,11,01/11/21 0:00
42.14126,January,2021,12,01/12/21 0:00
49.82516,January,2021,13,01/13/21 0:00
39.30892,January,2021,14,01/14/21 0:00
34.98093,January,2021,15,01/15/21 0:00
33.58812,January,2021,16,01/16/21 0:00
90.94023,January,2021,17,01/17/21 0:00
72.84958,January,2021,18,01/18/21 0:00
71.4725,January,2021,19,01/19/21 0:00
62.81347,January,2021,20,01/20/21 0:00
75.27784,January,2021,21,01/21/21 0:00
41.90461,January,2021,22,01/22/21 0:00
41.19227,January,2021,23,01/23/21 0:00
95.68678,January,2021,24,01/24/21 0:00
41.54627,January,2021,25,01/25/21 0:00
57.8582,January,2021,26,01/26/21 0:00
44.93672,January,2021,27,01/27/21 0:00
44.43089,January,2021,28,01/28/21 0:00
38.86205,January,2021,29,01/29/21 0:00
35.39122,January,2021,30,01/30/21 0:00
54.00848,January,2021,31,01/31/21 0:00
54.71611,February,2021,1,02/01/21 0:00
62.61202,February,2021,2,02/02/21 0:00
58.12517,February,2021,3,02/03/21 0:00
53.9654,February,2021,4,02/04/21 0:00
41.76331,February,2021,5,02/05/21 0:00
43.34002,February,2021,6,02/06/21 0:00
204.8217,February,2021,7,02/07/21 0:00
205.535,February,2021,8,02/08/21 0:00
93.42593,February,2021,9,02/09/21 0:00
95.19522,February,2021,10,02/10/21 0:00
104.83933,February,2021,11,02/11/21 0:00
76.64498,February,2021,12,02/12/21 0:00
53.40025,February,2021,13,02/13/21 0:00
56.62074,February,2021,14,02/14/21 0:00
58.71771,February,2021,15,02/15/21 0:00
53.35841,February,2021,16,02/16/21 0:00
55.00893,February,2021,17,02/17/21 0:00
54.77081,February,2021,18,02/18/21 0:00
40.03597,February,2021,19,02/19/21 0:00
52.93124,February,2021,20,02/20/21 0:00
103.95145,February,2021,21,02/21/21 0:00
93.93072,February,2021,22,02/22/21 0:00
74.73988,February,2021,23,02/23/21 0:00
81.76809,February,2021,24,02/24/21 0:00
65.55135,February,2021,25,02/25/21 0:00
44.43858,February,2021,26,02/26/21 0:00
44.11267,February,2021,27,02/27/21 0:00
67.38382,February,2021,28,02/28/21 0:00
49.48846,March,2021,1,03/01/21 0:00
56.30747,March,2021,2,03/02/21 0:00
54.16898,March,2021,3,03/03/21 0:00
62.07715,March,2021,4,03/04/21 0:00
41.0771,March,2021,5,03/05/21 0:00
61.85502,March,2021,6,03/06/21 0:00
89.68501,March,2021,7,03/07/21 0:00
78.61682,March,2021,8,03/08/21 0:00
72.65532,March,2021,9,03/09/21 0:00
91.91446,March,2021,10,03/10/21 0:00
70.09527,March,2021,11,03/11/21 0:00
44.22527,March,2021,12,03/12/21 0:00
60.43314,March,2021,13,03/13/21 0:00
54.33399,March,2021,14,03/14/21 0:00
50.81861,March,2021,15,03/15/21 0:00
53.95806,March,2021,16,03/16/21 0:00
53.0236,March,2021,17,03/17/21 0:00
43.80694,March,2021,18,03/18/21 0:00
40.69661,March,2021,19,03/19/21 0:00
39.88563,March,2021,20,03/20/21 0:00
91.44261,March,2021,21,03/21/21 0:00
80.74354,March,2021,22,03/22/21 0:00
59.06756,March,2021,23,03/23/21 0:00
73.88795,March,2021,24,03/24/21 0:00
58.56911,March,2021,25,03/25/21 0:00
66.33273,March,2021,26,03/26/21 0:00
62.46997,March,2021,27,03/27/21 0:00
62.00379,March,2021,28,03/28/21 0:00
62.53992,March,2021,29,03/29/21 0:00
63.18637,March,2021,30,03/30/21 0:00
51.94783,March,2021,31,03/31/21 0:00
53.66358,April,2021,1,04/01/21 0:00
48.73481,April,2021,2,04/02/21 0:00
46.15175,April,2021,3,04/03/21 0:00
60.93573,April,2021,4,04/04/21 0:00
61.83261,April,2021,5,04/05/21 0:00
66.02195,April,2021,6,04/06/21 0:00
71.30728,April,2021,7,04/07/21 0:00
69.44934,April,2021,8,04/08/21 0:00
46.89032,April,2021,9,04/09/21 0:00
55.94129,April,2021,10,04/10/21 0:00
63.58671,April,2021,11,04/11/21 0:00
55.37422,April,2021,12,04/12/21 0:00
68.06038,April,2021,13,04/13/21 0:00
40.01136,April,2021,14,04/14/21 0:00
26.56554,April,2021,15,04/15/21 0:00
27.80494,April,2021,16,04/16/21 0:00
36.20473,April,2021,17,04/17/21 0:00
79.48307,April,2021,18,04/18/21 0:00
63.15198,April,2021,19,04/19/21 0:00
63.14157,April,2021,20,04/20/21 0:00
51.10078,April,2021,21,04/21/21 0:00
51.99089,April,2021,22,04/22/21 0:00
38.10336,April,2021,23,04/23/21 0:00
59.19574,April,2021,24,04/24/21 0:00
92.57297,April,2021,25,04/25/21 0:00
55.19821,April,2021,26,04/26/21 0:00
100.89049,April,2021,27,04/27/21 0:00
92.31369,April,2021,28,04/28/21 0:00
83.96828,April,2021,29,04/29/21 0:00
77.70345,April,2021,30,04/30/21 0:00
77.87352,May,2021,1,05/01/21 0:00
70.52221,May,2021,2,05/02/21 0:00
41.19045,May,2021,3,05/03/21 0:00
41.36584,May,2021,4,05/04/21 0:00
46.60109,May,2021,5,05/05/21 0:00
44.52579,May,2021,6,05/06/21 0:00
39.59057,May,2021,7,05/07/21 0:00
39.40839,May,2021,8,05/08/21 0:00
92.22967,May,2021,9,05/09/21 0:00
58.69535,May,2021,10,05/10/21 0:00
46.69153,May,2021,11,05/11/21 0:00
53.90878,May,2021,12,05/12/21 0:00
53.28237,May,2021,13,05/13/21 0:00
38.69931,May,2021,14,05/14/21 0:00
38.03527,May,2021,15,05/15/21 0:00
65.75598,May,2021,16,05/16/21 0:00
44.5364,May,2021,17,05/17/21 0:00
45.42609,May,2021,18,05/18/21 0:00
42.31002,May,2021,19,05/19/21 0:00
71.61338,May,2021,20,05/20/21 0:00
37.19671,May,2021,21,05/21/21 0:00
37.75752,May,2021,22,05/22/21 0:00
49.24468,May,2021,23,05/23/21 0:00
47.79898,May,2021,24,05/24/21 0:00
49.2622,May,2021,25,05/25/21 0:00
46.27036,May,2021,26,05/26/21 0:00
42.63428,May,2021,27,05/27/21 0:00
37.77062,May,2021,28,05/28/21 0:00
58.93814,May,2021,29,05/29/21 0:00
39.11901,May,2021,30,05/30/21 0:00
41.50536,May,2021,31,05/31/21 0:00
46.47455,June,2021,1,06/01/21 0:00
39.80597,June,2021,2,06/02/21 0:00
56.88632,June,2021,3,06/03/21 0:00
36.07606,June,2021,4,06/04/21 0:00
37.03705,June,2021,5,06/05/21 0:00
91.46113,June,2021,6,06/06/21 0:00
90.78665,June,2021,7,06/07/21 0:00
61.30312,June,2021,8,06/08/21 0:00
56.78323,June,2021,9,06/09/21 0:00
76.19661,June,2021,10,06/10/21 0:00
60.88334,June,2021,11,06/11/21 0:00
59.57375,June,2021,12,06/12/21 0:00
86.09555,June,2021,13,06/13/21 0:00
67.81646,June,2021,14,06/14/21 0:00
70.31058,June,2021,15,06/15/21 0:00
67.97097,June,2021,16,06/16/21 0:00
69.52313,June,2021,17,06/17/21 0:00
61.68165,June,2021,18,06/18/21 0:00
62.22655,June,2021,19,06/19/21 0:00
88.91811,June,2021,20,06/20/21 0:00
58.11533,June,2021,21,06/21/21 0:00
56.95713,June,2021,22,06/22/21 0:00
50.77387,June,2021,23,06/23/21 0:00
65.80334,June,2021,24,06/24/21 0:00
61.19757,June,2021,25,06/25/21 0:00
62.95693,June,2021,26,06/26/21 0:00
130.3229,June,2021,27,06/27/21 0:00
162.4755,June,2021,28,06/28/21 0:00
86.41604,June,2021,29,06/29/21 0:00
99.64378,June,2021,30,06/30/21 0:00
102.10529,July,2021,1,07/01/21 0:00
95.19252,July,2021,2,07/02/21 0:00
89.07614,July,2021,3,07/03/21 0:00
111.766,July,2021,4,07/04/21 0:00
106.13662,July,2021,5,07/05/21 0:00
96.95409,July,2021,6,07/06/21 0:00
80.98737,July,2021,7,07/07/21 0:00
84.32333,July,2021,8,07/08/21 0:00
62.84458,July,2021,9,07/09/21 0:00
63.77897,July,2021,10,07/10/21 0:00
96.30809,July,2021,11,07/11/21 0:00
91.99102,July,2021,12,07/12/21 0:00
102.11573,July,2021,13,07/13/21 0:00
95.4886,July,2021,14,07/14/21 0:00
90.73443,July,2021,15,07/15/21 0:00
63.52503,July,2021,16,07/16/21 0:00
64.42863,July,2021,17,07/17/21 0:00
108.42889,July,2021,18,07/18/21 0:00
92.3833,July,2021,19,07/19/21 0:00
93.38458,July,2021,20,07/20/21 0:00
79.59381,July,2021,21,07/21/21 0:00
77.09498,July,2021,22,07/22/21 0:00
63.29197,July,2021,23,07/23/21 0:00
71.67108,July,2021,24,07/24/21 0:00
67.63689,July,2021,25,07/25/21 0:00
51.17733,July,2021,26,07/26/21 0:00
52.77213,July,2021,27,07/27/21 0:00
52.18937,July,2021,28,07/28/21 0:00
44.25192,July,2021,29,07/29/21 0:00
36.83037,July,2021,30,07/30/21 0:00
38.30893,July,2021,31,07/31/21 0:00
48.9266,August,2021,1,08/01/21 0:00
57.69427,August,2021,2,08/02/21 0:00
53.94666,August,2021,3,08/03/21 0:00
44.57486,August,2021,4,08/04/21 0:00
53.80006,August,2021,5,08/05/21 0:00
47.8856,August,2021,6,08/06/21 0:00
47.99036,August,2021,7,08/07/21 0:00
57.94737,August,2021,8,08/08/21 0:00
58.85093,August,2021,9,08/09/21 0:00
58.08537,August,2021,10,08/10/21 0:00
66.02805,August,2021,11,08/11/21 0:00
59.20246,August,2021,12,08/12/21 0:00
40.19205,August,2021,13,08/13/21 0:00
47.94819,August,2021,14,08/14/21 0:00
63.83304,August,2021,15,08/15/21 0:00
55.66778,August,2021,16,08/16/21 0:00
53.00214,August,2021,17,08/17/21 0:00
72.08127,August,2021,18,08/18/21 0:00
68.88726,August,2021,19,08/19/21 0:00
62.04594,August,2021,20,08/20/21 0:00
60.3235,August,2021,21,08/21/21 0:00
95.7913,August,2021,22,08/22/21 0:00
63.92335,August,2021,23,08/23/21 0:00
67.43847,August,2021,24,08/24/21 0:00
71.36849,August,2021,25,08/25/21 0:00
69.32501,August,2021,26,08/26/21 0:00
61.51077,August,2021,27,08/27/21 0:00
69.32824,August,2021,28,08/28/21 0:00
87.4532,August,2021,29,08/29/21 0:00
56.50678,August,2021,30,08/30/21 0:00
47.90534,August,2021,31,08/31/21 0:00
48.23998,September,2021,1,09/01/21 0:00
48.74137,September,2021,2,09/02/21 0:00
43.9074,September,2021,3,09/03/21 0:00
40.15603,September,2021,4,09/04/21 0:00
63.26821,September,2021,5,09/05/21 0:00
79.25461,September,2021,6,09/06/21 0:00
55.83295,September,2021,7,09/07/21 0:00
61.50039,September,2021,8,09/08/21 0:00
50.2036,September,2021,9,09/09/21 0:00
35.77687,September,2021,10,09/10/21 0:00
35.56102,September,2021,11,09/11/21 0:00
43.88544,September,2021,12,09/12/21 0:00
63.63496,September,2021,13,09/13/21 0:00
41.81896,September,2021,14,09/14/21 0:00
42.14126,September,2021,15,09/15/21 0:00
49.82516,September,2021,16,09/16/21 0:00
39.30892,September,2021,17,09/17/21 0:00
34.98093,September,2021,18,09/18/21 0:00
33.58812,September,2021,19,09/19/21 0:00
90.94023,September,2021,20,09/20/21 0:00
72.84958,September,2021,21,09/21/21 0:00
71.4725,September,2021,22,09/22/21 0:00
62.81347,September,2021,23,09/23/21 0:00
75.27784,September,2021,24,09/24/21 0:00
41.90461,September,2021,25,09/25/21 0:00
41.19227,September,2021,26,09/26/21 0:00
95.68678,September,2021,27,09/27/21 0:00
